feature,model_vars,default
bid_avalimit_occupied_rto_l184d,model_vars_bid,-1
bid_avalimit_occupied_rto_l1t,model_vars_bid,-1
bid_avalimit_occupied_rto_l31d,model_vars_bid,-1
bid_avalimit_occupied_rto_l365d,model_vars_bid,-1
bid_avalimit_occupied_rto_l3t,model_vars_bid,-1
bid_avalimit_occupied_rto_l5t,model_vars_bid,-1
bid_avalimit_occupied_rto_l62d,model_vars_bid,-1
bid_avalimit_occupied_rto_l92d,model_vars_bid,-1
bid_bid_days_gap_l1t,model_vars_bid,-1
bid_cnt,model_vars_bid,-1
bid_cnt_l184d,model_vars_bid,-1
bid_cnt_l31d,model_vars_bid,-1
bid_cnt_l62d,model_vars_bid,-1
bid_cnt_l92d,model_vars_bid,-1
bid_elapsedday_max,model_vars_bid,-1
bid_elapsedday_min,model_vars_bid,-1
bid_hh_0_4_cnt,model_vars_bid,-1
bid_hh_0_4_cnt_l184d,model_vars_bid,-1
bid_hh_0_4_cnt_l31d,model_vars_bid,-1
bid_hh_0_4_cnt_l62d,model_vars_bid,-1
bid_hh_0_4_cnt_l92d,model_vars_bid,-1
bid_hh_l1t,model_vars_bid,-1
bid_listing_months_l1t,model_vars_bid,-1
bid_pay_days_gap_l1t,model_vars_bid,-1
bid_pay_hours_gap_l1t,model_vars_bid,-1
bid_pay_mins_gap_l1t,model_vars_bid,-1
bid_succ_avalimit_occupied_rto_l184d,model_vars_bid,-1
bid_succ_avalimit_occupied_rto_l1t,model_vars_bid,-1
bid_succ_avalimit_occupied_rto_l31d,model_vars_bid,-1
bid_succ_avalimit_occupied_rto_l365d,model_vars_bid,-1
bid_succ_avalimit_occupied_rto_l3t,model_vars_bid,-1
bid_succ_avalimit_occupied_rto_l5t,model_vars_bid,-1
bid_succ_avalimit_occupied_rto_l62d,model_vars_bid,-1
bid_succ_avalimit_occupied_rto_l92d,model_vars_bid,-1
bid_succ_bid_days_gap_l1t,model_vars_bid,-1
bid_succ_cnt,model_vars_bid,-1
bid_succ_cnt_l184d,model_vars_bid,-1
bid_succ_cnt_l31d,model_vars_bid,-1
bid_succ_cnt_l62d,model_vars_bid,-1
bid_succ_cnt_l92d,model_vars_bid,-1
bid_succ_elapsedday_max,model_vars_bid,-1
bid_succ_elapsedday_min,model_vars_bid,-1
bid_succ_listing_months_l1t,model_vars_bid,-1
bid_succ_pay_days_gap_l1t,model_vars_bid,-1
fcv_reg_elapsedday,model_vars_basic,-1
income_expense_ratio,model_vars_basic,-1
maturity,model_vars_basic,-1
