feature,model_vars,defalut,default
bank_txn_category_global_cnt,model_vars_category,-1000000,-999999.99999
bank_txn_category_global_credit_cnt,model_vars_category,-1000000,-999999.99999
bank_txn_category_global_debit_cnt,model_vars_category,-1000000,-999999.99999
bank_txn_category_global_amt,model_vars_category,-1000000,-999999.99999
bank_txn_category_global_credit_amt,model_vars_category,-1000000,-999999.99999
bank_txn_category_global_debit_amt,model_vars_category,-1000000,-999999.99999
bank_txn_category_global_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_global_credit_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_global_debit_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_global_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_global_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_global_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_non_sacc_loans_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_dining_out_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_retail_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_subscription_tv_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_internal_transfer_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_external_transfers_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_all_other_credits_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_travel_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_automotive_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_groceries_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_sacc_loans_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_education_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_telecommunications_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_health_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_department_stores_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_pet_care_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_home_improvement_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_gyms_and_other_memberships_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_overdrawn_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_information_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_debt_collection_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_utilities_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_entertainment_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_transport_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_donations_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_rent_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_fees_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_debt_consolidation_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_gambling_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_insurance_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_centrelink_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_dishonours_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_credit_card_repayments_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_personal_care_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_wages_cnt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_all_other_credits_credit_cnt_7d,model_vars_category,-1000000,-999999.99999
