feature,model_vars,default
bank_txn_balance_anomaly_days_14d,model_vars_balance,-1000000
bank_txn_balance_anomaly_days_168d,model_vars_balance,-1000000
bank_txn_balance_anomaly_days_182d,model_vars_balance,-1000000
bank_txn_balance_anomaly_days_28d,model_vars_balance,-1000000
bank_txn_balance_anomaly_days_56d,model_vars_balance,-1000000
bank_txn_balance_anomaly_days_7d,model_vars_balance,-1000000
bank_txn_balance_anomaly_days_84d,model_vars_balance,-1000000
bank_txn_balance_ar1_c_14d,model_vars_balance,-1000000
bank_txn_balance_ar1_c_168d,model_vars_balance,-1000000
bank_txn_balance_ar1_c_182d,model_vars_balance,-1000000
bank_txn_balance_ar1_c_28d,model_vars_balance,-1000000
bank_txn_balance_ar1_c_56d,model_vars_balance,-1000000
bank_txn_balance_ar1_c_7d,model_vars_balance,-1000000
bank_txn_balance_ar1_c_84d,model_vars_balance,-1000000
bank_txn_balance_ar1_phi_14d,model_vars_balance,-1000000
bank_txn_balance_ar1_phi_168d,model_vars_balance,-1000000
bank_txn_balance_ar1_phi_182d,model_vars_balance,-1000000
bank_txn_balance_ar1_phi_28d,model_vars_balance,-1000000
bank_txn_balance_ar1_phi_56d,model_vars_balance,-1000000
bank_txn_balance_ar1_phi_7d,model_vars_balance,-1000000
bank_txn_balance_ar1_phi_84d,model_vars_balance,-1000000
bank_txn_balance_ar1_resid_std_14d,model_vars_balance,-1000000
bank_txn_balance_ar1_resid_std_168d,model_vars_balance,-1000000
bank_txn_balance_ar1_resid_std_182d,model_vars_balance,-1000000
bank_txn_balance_ar1_resid_std_28d,model_vars_balance,-1000000
bank_txn_balance_ar1_resid_std_56d,model_vars_balance,-1000000
bank_txn_balance_ar1_resid_std_7d,model_vars_balance,-1000000
bank_txn_balance_ar1_resid_std_84d,model_vars_balance,-1000000
bank_txn_balance_autocorr1_14d,model_vars_balance,-1000000
bank_txn_balance_autocorr1_168d,model_vars_balance,-1000000
bank_txn_balance_autocorr1_182d,model_vars_balance,-1000000
bank_txn_balance_autocorr1_28d,model_vars_balance,-1000000
bank_txn_balance_autocorr1_56d,model_vars_balance,-1000000
bank_txn_balance_autocorr1_7d,model_vars_balance,-1000000
bank_txn_balance_autocorr1_84d,model_vars_balance,-1000000
bank_txn_balance_autocorr7_14d,model_vars_balance,-1000000
bank_txn_balance_autocorr7_168d,model_vars_balance,-1000000
bank_txn_balance_autocorr7_182d,model_vars_balance,-1000000
bank_txn_balance_autocorr7_28d,model_vars_balance,-1000000
bank_txn_balance_autocorr7_56d,model_vars_balance,-1000000
bank_txn_balance_autocorr7_7d,model_vars_balance,-1000000
bank_txn_balance_autocorr7_84d,model_vars_balance,-1000000
bank_txn_balance_below_avg_ratio_14d,model_vars_balance,-1000000
bank_txn_balance_below_avg_ratio_168d,model_vars_balance,-1000000
bank_txn_balance_below_avg_ratio_182d,model_vars_balance,-1000000
bank_txn_balance_below_avg_ratio_28d,model_vars_balance,-1000000
bank_txn_balance_below_avg_ratio_56d,model_vars_balance,-1000000
bank_txn_balance_below_avg_ratio_7d,model_vars_balance,-1000000
bank_txn_balance_below_avg_ratio_84d,model_vars_balance,-1000000
bank_txn_balance_credit_autocorr7_14d,model_vars_balance,-1000000
bank_txn_balance_credit_autocorr7_168d,model_vars_balance,-1000000
bank_txn_balance_credit_autocorr7_182d,model_vars_balance,-1000000
bank_txn_balance_credit_autocorr7_28d,model_vars_balance,-1000000
bank_txn_balance_credit_autocorr7_56d,model_vars_balance,-1000000
bank_txn_balance_credit_autocorr7_7d,model_vars_balance,-1000000
bank_txn_balance_credit_autocorr7_84d,model_vars_balance,-1000000
bank_txn_balance_credit_big_ratio_14d,model_vars_balance,-1000000
bank_txn_balance_credit_big_ratio_168d,model_vars_balance,-1000000
bank_txn_balance_credit_big_ratio_182d,model_vars_balance,-1000000
bank_txn_balance_credit_big_ratio_28d,model_vars_balance,-1000000
bank_txn_balance_credit_big_ratio_56d,model_vars_balance,-1000000
bank_txn_balance_credit_big_ratio_7d,model_vars_balance,-1000000
bank_txn_balance_credit_big_ratio_84d,model_vars_balance,-1000000
bank_txn_balance_credit_concentration_14d,model_vars_balance,-1000000
bank_txn_balance_credit_concentration_168d,model_vars_balance,-1000000
bank_txn_balance_credit_concentration_182d,model_vars_balance,-1000000
bank_txn_balance_credit_concentration_28d,model_vars_balance,-1000000
bank_txn_balance_credit_concentration_56d,model_vars_balance,-1000000
bank_txn_balance_credit_concentration_7d,model_vars_balance,-1000000
bank_txn_balance_credit_concentration_84d,model_vars_balance,-1000000
bank_txn_balance_credit_cv_14d,model_vars_balance,-1000000
bank_txn_balance_credit_cv_168d,model_vars_balance,-1000000
bank_txn_balance_credit_cv_182d,model_vars_balance,-1000000
bank_txn_balance_credit_cv_28d,model_vars_balance,-1000000
bank_txn_balance_credit_cv_56d,model_vars_balance,-1000000
bank_txn_balance_credit_cv_7d,model_vars_balance,-1000000
bank_txn_balance_credit_cv_84d,model_vars_balance,-1000000
bank_txn_balance_credit_days_14d,model_vars_balance,-1000000
bank_txn_balance_credit_days_168d,model_vars_balance,-1000000
bank_txn_balance_credit_days_182d,model_vars_balance,-1000000
bank_txn_balance_credit_days_28d,model_vars_balance,-1000000
bank_txn_balance_credit_days_56d,model_vars_balance,-1000000
bank_txn_balance_credit_days_7d,model_vars_balance,-1000000
bank_txn_balance_credit_days_84d,model_vars_balance,-1000000
bank_txn_balance_credit_entropy_14d,model_vars_balance,-1000000
bank_txn_balance_credit_entropy_168d,model_vars_balance,-1000000
bank_txn_balance_credit_entropy_182d,model_vars_balance,-1000000
bank_txn_balance_credit_entropy_28d,model_vars_balance,-1000000
bank_txn_balance_credit_entropy_56d,model_vars_balance,-1000000
bank_txn_balance_credit_entropy_7d,model_vars_balance,-1000000
bank_txn_balance_credit_entropy_84d,model_vars_balance,-1000000
bank_txn_balance_credit_fortnight_amount_14d,model_vars_balance,-1000000
bank_txn_balance_credit_fortnight_amount_168d,model_vars_balance,-1000000
bank_txn_balance_credit_fortnight_amount_182d,model_vars_balance,-1000000
bank_txn_balance_credit_fortnight_amount_28d,model_vars_balance,-1000000
bank_txn_balance_credit_fortnight_amount_56d,model_vars_balance,-1000000
bank_txn_balance_credit_fortnight_amount_7d,model_vars_balance,-1000000
bank_txn_balance_credit_fortnight_amount_84d,model_vars_balance,-1000000
bank_txn_balance_credit_fortnight_days_14d,model_vars_balance,-1000000
bank_txn_balance_credit_fortnight_days_168d,model_vars_balance,-1000000
bank_txn_balance_credit_fortnight_days_182d,model_vars_balance,-1000000
bank_txn_balance_credit_fortnight_days_28d,model_vars_balance,-1000000
bank_txn_balance_credit_fortnight_days_56d,model_vars_balance,-1000000
bank_txn_balance_credit_fortnight_days_7d,model_vars_balance,-1000000
bank_txn_balance_credit_fortnight_days_84d,model_vars_balance,-1000000
bank_txn_balance_credit_freq_14d,model_vars_balance,-1000000
bank_txn_balance_credit_freq_168d,model_vars_balance,-1000000
bank_txn_balance_credit_freq_182d,model_vars_balance,-1000000
bank_txn_balance_credit_freq_28d,model_vars_balance,-1000000
bank_txn_balance_credit_freq_56d,model_vars_balance,-1000000
bank_txn_balance_credit_freq_7d,model_vars_balance,-1000000
bank_txn_balance_credit_freq_84d,model_vars_balance,-1000000
bank_txn_balance_credit_gap_max_14d,model_vars_balance,-1000000
bank_txn_balance_credit_gap_max_168d,model_vars_balance,-1000000
bank_txn_balance_credit_gap_max_182d,model_vars_balance,-1000000
bank_txn_balance_credit_gap_max_28d,model_vars_balance,-1000000
bank_txn_balance_credit_gap_max_56d,model_vars_balance,-1000000
bank_txn_balance_credit_gap_max_7d,model_vars_balance,-1000000
