third_party,competitor,product_type
360 Cash Loans,360 Cash Loans,personal loan
Afterpay,Afterpay: Shop Smarter,BNPL
ANZ Credit Card Cash Advance T,ANZ,bank
ANZ Loan Redraw,ANZ,bank
ANZ Loan Repayment,ANZ,bank
BANKWEST Credit Card Cash Adva,BANKWEST,bank
BANKWEST Loans,BANKWEST,bank
Beforepay,Beforepay: Borrow up to 2000,cash/wage advance
Cash Bridge,Sunbow Finance,personal loan
Cash Converters,Cash Converters My Loans,personal loan
Cash N Go,cashngo,personal loan
Cash Train,Cash Train,personal loan
CBA Loans,CBA Loans,personal loan
CBA StepPay,CBA StepPay,BNPL
Champion Loans,Champion Loans,personal loan
Cigno Loans,Cigno Austalia,personal loan
Citibank Loans,Citi,personal loan
City Finance,City Finance,personal loan
Credit Corp Loan,CrediCorp,personal loan
Credit24,Credit24,personal loan
Fair Go Finance,FairGO,personal loan
Fair Go Finance SACC,FairGO,personal loan
Finance One,Finance One,personal loan
Flash Money,Flash Money,personal loan
Handout Loans,Handout loans,personal loan
Harmoney,Harmoney,personal loan
Humm,humm loan,personal loan
ING Loan Redraw,ING,bank
ING Loan Redraw Credit,ING,bank
ING Loan Repayment Debit,ING,bank
ING Loans,ING,bank
Jacaranda Finance,BetterCredit Jacaranda Finance,personal loan
Klarna,Klarna,BNPL
Latitude Financial,Latitude Financial,personal loan
Money3,Money3,personal loan
MoneyMe,MONEYME,personal loan
MoneyPlus,Money Plus,personal loan
Moneyspot,MoneySpot,personal loan
MyPayNow,MyPayNow,cash/wage advance
NAB Credit Card Cash Advance T,NAB,bank
NAB Loan Redraw,NAB,bank
NAB Loan Repayment,NAB,bank
NEWCASTLE Credit Card Cash Adv,newcastle,personal loan
NEWCASTLE Loans,newcastle,personal loan
Nimble,Nimble AnyTime,personal loan
Now Finance,Now Finance,personal loan
OurMoneyMarket,our money market,personal loan
Payday Advance,Payday Loans,cash/wage advance
Paypal Pay in 4,Paypal,BNPL
PEOPLESCHOICECU Loans,People's Choice,personal loan
Plenti,Plenti,personal loan
Press Pay,PressPay,cash/wage advance
Quickzy,Quickzy Finance,personal loan
Red Tree Finance,Red Tree Finance,personal loan
Safe Financial,Safe Financial,personal loan
Snaffle,Snaffle,BNPL
Society One,Society One,personal loan
Spotter Loan,Spotter Loans,personal loan
Sunshine Loans,Sunshine,personal loan
Swoosh Finance,Swoosh Finance,personal loan
Wagepay,Wagepay: Instant Pay Advance,cash/wage advance
Wagetap,Wagetap: Instant Cash Advance,cash/wage advance
WESTPAC Credit Card Cash Advan,WESTPAC,bank
WESTPAC Loan Redraw,WESTPAC,bank
WESTPAC Loan Repayment,WESTPAC,bank
Wisr,Wisr – smarter money habits,personal loan
Zip Pay,Zip,BNPL
Zip Plus,Zip,BNPL
Zipmoney,Zip,BNPL
