third_party,competitor,product_type
Afterpay,Afterpay: Shop Smarter,BNPL
Zip Pay,Zip,BNPL
CBA StepPay,CBA StepPay,BNPL
Klarna,Klarna,BNPL
Paypal Pay in 4,Paypal,BNPL
Zipmoney,Zip,BNPL
Deferit,Deferit,BNPL
NAB Now Pay Later,NAB Now Pay Later,BNPL
Layaway,Layaway,BNPL
Lowes Zero Card,Lowes Zero Card,BNPL
Payright,Payright,BNPL
Brighte,Brighte,BNPL
Gimmie,Gimmie,BNPL
Moneyspot,MoneySpot,personal loan
Credit Corp Loan,CrediCorp,personal loan
CBA Loans,CBA Loans,personal loan
Cash Converters,Cash Converters My Loans,personal loan
Sunshine Loans,Sunshine,personal loan
Swoosh Finance,Swoosh Finance,personal loan
Cash N Go,cashngo,personal loan
Cash Bridge,Sunbow Finance,personal loan
360 Cash Loans,360 Cash Loans,personal loan
Credit24,Credit24,personal loan
Cash Train,Cash Train,personal loan
Money3,Money3,personal loan
Jacaranda Finance,BetterCredit Jacaranda Finance,personal loan
Latitude Financial,Latitude Financial,personal loan
Safe Financial,Safe Financial,personal loan
Flash Money,Flash Money,personal loan
Nimble,Nimble AnyTime,personal loan
CashFaster,CashFaster,personal loan
MoneyMe,MONEYME,personal loan
Fundency,Fundency,personal loan
Cigno Loans,Cigno Austalia,personal loan
Handout Loans,Handout loans,personal loan
Fair Go Finance,FairGO,personal loan
R4K Group,R4K Group,personal loan
Harmoney,Harmoney,personal loan
Snaffle,Snaffle,personal loan
City Finance,City Finance,personal loan
General Mortgage,General Mortgage,personal loan
Zip Plus,Zip,BNPL
Red Tree Finance,Red Tree Finance,personal loan
Quickcash,Quickcash,personal loan
Toyota Finance,Toyota Finance,personal loan
Rapid Loans,Rapid Loans,personal loan
Finance One,Finance One,personal loan
PayExpress,PayExpress,personal loan
Champion Loans,Champion Loans,personal loan
Liberty Financial,Liberty Financial,personal loan
VetPay,VetPay,personal loan
Paylab,Paylab,personal loan
Pepper Money,Pepper Money,personal loan
Stay Finance,Stay Finance,personal loan
Home Loan,Home Loan,personal loan
Now Finance,Now Finance,personal loan
Cash Direct,Cash Direct,personal loan
Plenti,Plenti,personal loan
Angle Finance,Angle Finance,personal loan
Square Loans,Square Loans,personal loan
St George Loans,St George Loans,personal loan
Money Centre,Money Centre,personal loan
Azora Finance,Azora Finance,personal loan
PayLater Travel,PayLater Travel,personal loan
CashPal,CashPal,personal loan
Humm,humm loan,personal loan
Affordable Car Loans,Affordable Car Loans,personal loan
Nissan Finance,Nissan Finance,personal loan
Cash Stop,Cash Stop,personal loan
CarCoop,CarCoop,personal loan
Allied Retail Finance,Allied Retail Finance,personal loan
1st Choice Rentals,1st Choice Rentals,personal loan
Wisr,Wisr-smarter money habits,personal loan
DentiCare,DentiCare,personal loan
Macquarie Leasing,Macquarie Leasing,personal loan
MoneyPlus,Money Plus,personal loan
Circlepay,Circlepay,personal loan
Arteva Funding,Arteva Funding,personal loan
Sure Cash,Sure Cash,personal loan
Auto Finance Loans,Auto Finance Loans,personal loan
Volkswagen Financial,Volkswagen Financial,personal loan
Salt and Lime,Salt and Lime,personal loan
Poligon Group,Poligon Group,personal loan
Cash Now,Cash Now,personal loan
Society One,Society One,personal loan
Green Light Auto Finance,Green Light Auto Finance,personal loan
Autopay,Autopay,personal loan
Good To Go,Good To Go,personal loan
Cash Place,Cash Place,personal loan
Quickzy,Quickzy Finance,personal loan
Citibank Loans,Citi,personal loan
First Mortgage Company,First Mortgage Company,personal loan
Earned Wage Access,Earned Wage Access,personal loan
MyCashOnline,MyCashOnline,personal loan
Mazda Finance,Mazda Finance,personal loan
Branded Financial,Branded Financial,personal loan
Resimac,Resimac,personal loan
Difrent Rental,Difrent Rental,personal loan
Automotive Financial Services,Automotive Financial Services,personal loan
Money Place,Money Place,personal loan
Cash Savvy,Cash Savvy,personal loan
JP Finance and Investment,JP Finance and Investment,personal loan
APS Loans,APS Loans,personal loan
OurMoneyMarket,our money market,personal loan
NextPayday,NextPayday,personal loan
Splend,Splend,personal loan
Mercedes-Benz Financial Services,Mercedes-Benz Financial Services,personal loan
Yamaha Motor Finance,Yamaha Motor Finance,personal loan
Ume Loans,Ume Loans,personal loan
Thorn Group,Thorn Group,personal loan
Gedda Money,Gedda Money,personal loan
Taurus Motor Finance,Taurus Motor Finance,personal loan
My OZ Money,My OZ Money,personal loan
Beforepay,Beforepay: Borrow up to 2000,cash/wage advance
MyPayNow,MyPayNow,cash/wage advance
Wagetap,Wagetap: Instant Cash Advance,cash/wage advance
Wagepay,Wagepay: Instant Pay Advance,cash/wage advance
Press Pay,PressPay,cash/wage advance
ANZ Credit Card Cash Advance T,ANZ,bank
ANZ Loan Redraw,ANZ,bank
ANZ Loan Repayment,ANZ,bank
BANKWEST Credit Card Cash Adva,BANKWEST,bank
BANKWEST Loans,BANKWEST,bank
ING Loan Redraw,ING,bank
ING Loan Redraw Credit,ING,bank
ING Loan Repayment Debit,ING,bank
ING Loans,ING,bank
NAB Credit Card Cash Advance T,NAB,bank
NAB Loan Redraw,NAB,bank
NAB Loan Repayment,NAB,bank
WESTPAC Credit Card Cash Advan,WESTPAC,bank
WESTPAC Loan Redraw,WESTPAC,bank
WESTPAC Loan Repayment,WESTPAC,bank
Payday Advance,Payday Loans,cash/wage advance
Fair Go Finance SACC,FairGO,personal loan
NEWCASTLE Credit Card Cash Adv,newcastle,personal loan
NEWCASTLE Loans,newcastle,personal loan
PEOPLESCHOICECU Loans,People's Choice,personal loan
Spotter Loan,Spotter Loans,personal loan
